NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
DEPAKINE,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,VALPROATO SODIO,SI
DOLVIRAN,MEDICAMENTO ETICA,"KERN PHARMA, S.L.",ALTA,"CODEINA FOSFATO HEMIHIDRATO,CAFEINA ANHIDRA,ACETILSALICILICO ACIDO",NO
DOLVIRAN,MEDICAMENTO ETICA,"KERN PHARMA, S.L.",ALTA,"ACETILSALICILICO ACIDO,CODEINA FOSFATO HEMIHIDRATO,CAFEINA ANHIDRA",NO
NOCTAMID,MEDICAMENTO ETICA,"TEOFARMA, S.R.L",ALTA,LORMETAZEPAM,NO
PROPALCOF,MEDICAMENTO ETICA,"BAYER HISPANIA, S.L",ALTA,DEXTROMETORFANO HIDROBROMURO,NO
TAMOXIFENO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,TAMOXIFENO CITRATO,NO
RESINSODIO,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,POLIESTIRENOSULFONATO SODIO,NO
TRIFLUSAL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TRIFLUSAL,SI
TORASEMIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,TORASEMIDA,SI
IBUPROFENO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,IBUPROFENO,NO
IBUPROFENO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,IBUPROFENO,NO
TORASEMIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TORASEMIDA,SI
LISINOPRIL-HIDROCLOROT TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"HIDROCLOROTIAZIDA,LISINOPRIL DIHIDRATO",NO
TORASEMIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,TORASEMIDA,SI
DOXAZOSINA NEO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,DOXAZOSINA,SI
MIRTAZAPINA VIATRIS PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,MIRTAZAPINA,NO
ATACAND,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,CANDESARTAN CILEXETILO,NO
CITALOPRAM FARMALIDER,MEDICAMENTO ETICA,FARMALIDER S.A.,ALTA,CITALOPRAM HIDROBROMURO,NO
LANSOPRAZOL CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,LANSOPRAZOL,NO
INSPRA,MEDICAMENTO ETICA,"VIATRIS  HEALTHCARE, S.L.",ALTA,EPLERENONA,NO
ARTEOPTIC,MEDICAMENTO ETICA,"BAUSCH AND LOMB, S.A",ALTA,CARTEOLOL HIDROCLORURO,SI
HIDRATHEA,MEDICAMENTO ETICA,THEA S.A.,ALTA,SODIO CLORURO,NO
MIRTAZAPINA SANDOZ FARMACEUTICA,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,MIRTAZAPINA,NO
PUREGON,MEDICAMENTO ETICA,"ORGANON SALUD, S.L.",ALTA,FOLITROPINA BETA,NO
KARVEZIDE,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
KARVEZIDE,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
PRAVASTATINA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",BAJA POR NO COMERCIALIZAR,PRAVASTATINA SODICA,SI
RANITIDINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,RANITIDINA HIDROCLORURO,NO
ACICLOVIR MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,ACICLOVIR,NO
OMEPRAZOL MABO-FARMA,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",BAJA GENERAL,OMEPRAZOL,NO
