DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
AMISULPRID,SOLIDO,SANOFI AVENTIS,NO REGULADO
BELATACEP,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
BILASTIN,SOLIDO,FAES FARMA,NO REGULADO
BRIMONIDINA + BRINZOLAMID,LIQUIDO,NOVARTIS,NO REGULADO
CERLIPONASA ALF,LIQUIDO/SOLIDO,BioMarin,NO REGULADO
INHIBIDOR DE ,LIQUIDO/SOLIDO,CSL Behring,NO REGULADO
INTERFERON GAMMA,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
IOVERSO,LIQUIDO/SOLIDO,LIEBEL,NO REGULADO
PONATINI,SOLIDO,PINT PHARMA,NO REGULADO
TAMSULOSINA + DUTASTERID,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
TAMSULOSINA + DUTASTERID,SOLIDO,ASOFARMA,NO REGULADO
ILOPROS,LIQUIDO,BAYER,NO REGULADO
FACTOR VIII INHIBIDOR ACTIVADO POR BYPAS,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
COAGULACION FACTOR VII RECOMBINANT,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
AMBRISENTA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
TEMOZOLOMID,SOLIDO,MERCK SHARP DOME,NO REGULADO
CAPECITABIN,SOLIDO,MEDISPRAY,NO REGULADO
CAPECITABIN,SOLIDO,ROCHE,NO REGULADO
CETUXIMA,LIQUIDO/SOLIDO,MERCK,NO REGULADO
SORAFENI,SOLIDO,BAYER,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
BEVACIZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
GOSERELIN,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
INTERFERÓN BETA,LIQUIDO/SOLIDO,BAYER,NO REGULADO
INFLIXIMA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
NATALIZUMA,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
ECULIZUMA,LIQUIDO/SOLIDO,ALEXION,NO REGULADO
ADALIMUMA,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
CERTOLIZUMAB PEGO,LIQUIDO/SOLIDO,UCB,NO REGULADO
TOCILIZUMA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
VIGABATRIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
GALANTAMIN,SOLIDO,JANSSEN,NO REGULADO
OMALIZUMA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
LANREOTID,LIQUIDO/SOLIDO,IPSEN,NO REGULADO
VALGANCICLOVI,SOLIDO,ROCHE,NO REGULADO
VALGANCICLOVI,SOLIDO,BIOTOSCANA,NO REGULADO
TACROLIMU,SOLIDO,ASTELLAS,NO REGULADO
LINEZOLI,SOLIDO,PFIZER,NO REGULADO
LINEZOLI,SOLIDO,VESALIUS,NO REGULADO
NILOTINI,SOLIDO,NOVARTIS,NO REGULADO
TACROLIMU,SOLIDO,SANDOZ,NO REGULADO
INTERFERÓN BETA,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
ABATACEP,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ETANERCEP,LIQUIDO/SOLIDO,LA SANTE,NO REGULADO
ETANERCEP,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
INTERFERÓN BETA,LIQUIDO/SOLIDO,MERCK,NO REGULADO
ALTEPLASA (ACTIVADOR TISULAR DEL PLASMINÓGENO HUMANO,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
BICALUTAMID,SOLIDO,ASTRAZENECA,NO REGULADO
BICALUTAMID,SOLIDO,MONTE VERDE,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
CICLOSPORIN,SOLIDO,NOVARTIS,NO REGULADO
DABIGATRAN ETEXILAT,SOLIDO,BOEHRINGER,NO REGULADO
DORNASE ALF,LIQUIDO,ROCHE,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
