SERVICIO,DESCRIPCIO,PIEZAS SOLICITADAS,PRECIO UNITARIO
CIRUGIA GENERAL,CLONIXINATO DE LISINA,4,2.21
CIRUGIA GENERAL,BUMETANIDA,1,40.38
URGENCIAS,ONDANSENTRON ,10,12
URGENCIAS,ONDANSETRON,10,50
URGENCIAS,PARACETAMOL,10,0.39
URGENCIAS,PREDNISONA,2,1.42
URGENCIAS,GLUCOSA AL,10,33.65
URGENCIAS,BUTILHIOSCINA,15,5.43
URGENCIAS,KETOROLACO,10,2.68
URGENCIAS,OMEPRAZOL,5,54.16
URGENCIAS,TRAMADOL,10,22.99
URGENCIAS,METOCLOPRAMIDA,10,1.64
URGENCIAS,MULTIVITAMINICO B,5,77.47
URGENCIAS,HIDROCORTISONA SUCCINATO SODICO DE,10,23.02
URGENCIAS,NIFEDIPINO,10,1.2
URGENCIAS GINECOBSTETRICAS,DOXICICLINA,2,5.48
SUBDIRECCION DE ENFERMERIA,MEROPENEM,3,316.67
SUBDIRECCION DE ENFERMERIA,AMPICILINA SODICA,16,13.31
SUBDIRECCION DE ENFERMERIA,CEFTAZIDIMA  PENTAHIDRATADA,6,23.37
SUBDIRECCION DE ENFERMERIA,DOXICICLINA,2,5.48
SUBDIRECCION DE ENFERMERIA,AMIKACINA SULFATO DE,2,4.79
SUBDIRECCION DE ENFERMERIA,LIDOCAINA/EPINEFRINA AL,2,115.38
URGENCIAS GINECOBSTETRICAS,PARACETAMOL,6,0.39
MEDICINA INTERNA,INSULINA HUMANA ACCION RAPIDA,2,55.19
SUBDIRECCION DE ENFERMERIA,KETOROLACO,20,2.68
SUBDIRECCION DE ENFERMERIA,INSULINA HUMANA ACCION RAPIDA,1,55.19
SUBDIRECCION DE ENFERMERIA,LINEZOLID,2,287.5
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,4,15.9
MEDICINA INTERNA,AMFOTERICINA B,1,400.19
MEDICINA INTERNA,PROPOFOL,3,1038.46
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,1,4.6
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,1,287.5
AREA DE CHOQUE,CLARITROMICINA,1,645.77
URGENCIAS,CLARITROMICINA,1,645.77
MEDICINA INTERNA,ATORVASTATINA,2,3.4
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,3,4.6
MEDICINA INTERNA,PREDNISONA,2,1.42
MEDICINA INTERNA,SENOSIDOS A - B,2,0.79
MEDICINA INTERNA,DOXICICLINA,2,5.48
MEDICINA INTERNA,CEFEPIME ,8,50.64
CIRUGIA GENERAL,ERTAPENEM,1,345.76
CIRUGIA GENERAL,AMPICILINA SODICA,16,13.31
CIRUGIA GENERAL,LINEZOLID,2,287.5
CIRUGIA GENERAL,CIPROFLOXACINO,6,5.75
CIRUGIA GENERAL,MEROPENEM,3,316.67
CIRUGIA GENERAL,CIPROFLOXACINO,3,5.75
CIRUGIA GENERAL,TRIMETOPRIM/SULFAMETOXAZOL,6,11.5
TERAPIA INTENSIVA,ACIDO ASCORBICO,3,21.89
TERAPIA INTENSIVA,CLORURO DE POTASIO,2,1.82
TERAPIA INTENSIVA,TRIMETOPRIM/SULFAMETOXAZOL,6,11.5
TERAPIA INTENSIVA,LEVOFLOXACINA,1,750
TERAPIA INTENSIVA,AMIKACINA SULFATO DE,2,4.79
TERAPIA INTENSIVA,ITRACONAZOL,4,3.29
TERAPIA INTENSIVA,PREDNISONA,1,1.42
TERAPIA INTENSIVA,NOREPINEFRINA,10,71.17
TERAPIA INTENSIVA,VANCOMICINA,4,46.68
TERAPIA INTENSIVA,ERTAPENEM,1,345.76
TERAPIA INTENSIVA,VANCOMICINA,6,46.68
TERAPIA INTENSIVA,MEROPENEM,3,316.67
TERAPIA INTENSIVA,CASPOFUNGINA,1,1166.67
TERAPIA INTENSIVA,OMEPRAZOL,2,54.16
TERAPIA INTENSIVA,LEVOTIROXINA SODICA,1,6.28
TERAPIA INTENSIVA,HIDROCORTISONA SUCCINATO SODICO DE,4,23.02
TERAPIA INTENSIVA,MULTIVITAMINICO B,2,77.47
TERAPIA INTENSIVA,CLORURO DE POTASIO,5,1.82
TERAPIA INTENSIVA,AMIODARONA,6,44.01
TERAPIA INTENSIVA,DIGOXINA,1,16.58
TERAPIA INTENSIVA,FUROSEMIDA,2,3.56
TERAPIA INTENSIVA,PARACETAMOL,3,129.68
TERAPIA INTENSIVA,CEFEPIME ,4,50.64
TERAPIA INTENSIVA,METRONIDAZOL,3,14.35
TERAPIA INTENSIVA,MULTIVITAMINICO B,1,77.47
TERAPIA INTENSIVA,METILPREDNISOLONA,2,146.07
TERAPIA INTENSIVA,LINEZOLID,1,287.5
TERAPIA INTENSIVA,MEROPENEM,2,316.67
TERAPIA INTENSIVA,AMOXICILINA/CLAVULATO,4,4.6
TERAPIA INTENSIVA,LEVETIRACETAM ,4,20.1
TERAPIA INTENSIVA,OMEPRAZOL,1,54.16
TERAPIA INTENSIVA,CARBAMAZEPINA,6,1.83
TERAPIA INTENSIVA,ACIDO VALPROICO,4,4.46
TERAPIA INTENSIVA,RISPERIDONA,2,0.49
TERAPIA INTENSIVA,CLORURO DE POTASIO,4,1.82
TERAPIA INTENSIVA,ISONIACIDA,4,3.29
MEDICINA INTERNA,LINEZOLID,2,287.5
MEDICINA INTERNA,LEVOTIROXINA SODICA,1,6.28
MEDICINA INTERNA,TRAMADOL,3,22.99
MEDICINA INTERNA,LEVETIRACETAM ,8,20.1
MEDICINA INTERNA,ERTAPENEM,1,345.76
MEDICINA INTERNA,FLUCONAZOL,2,216.62
MEDICINA INTERNA,TIGECICLINA,2,769.72
MEDICINA INTERNA,CEFEPIME ,4,50.64
MEDICINA INTERNA,CLARITROMICINA,2,645.77
MEDICINA INTERNA,OMEPRAZOL,1,54.16
MEDICINA INTERNA,OMEPRAZOL,1,8.84
MEDICINA INTERNA,AMOXICILINA/CLAVULANATO,0,32.8
MEDICINA INTERNA,ISONIAZIDA/RIFAMPICINA,0,6.11
MEDICINA INTERNA,CASPOFUNGINA,1,1166.67
MEDICINA INTERNA,CEFALOTINA SODICA,12,24.71
CIRUGIA GENERAL,CEFTAZIDIMA  PENTAHIDRATADA,4,23.37
MEDICINA INTERNA,SERTRALINA,1,0.83
MEDICINA INTERNA,CAPTOPRIL,2,0.15
MEDICINA INTERNA,LACTATO GLUCONATO DE CALCIO,6,2.24
MEDICINA INTERNA,BIPERIDENO,2,1.03
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,6,11.5
MEDICINA INTERNA,GABAPENTINA,3,4.35
MEDICINA INTERNA,DEXAMETASONA FOSFATO SODICO DE,2,8.17
MEDICINA INTERNA,FENITOINA SODICA,3,0.38
MEDICINA INTERNA,NIFEDIPINO,3,1.2
CIRUGIA GENERAL,VANCOMICINA,4,46.68
CIRUGIA GENERAL,METRONIDAZOL,3,14.35
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,2,22.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO,3,2.68
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PARACETAMOL,3,129.68
CIRUGIA PLASTICA Y RECONSTRUCTIVA,ERTAPENEM,1,345.76
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,4,22.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTAZIDIMA  PENTAHIDRATADA,4,23.37
CIRUGIA PLASTICA Y RECONSTRUCTIVA,METRONIDAZOL,0,0.44
